claim_id,pmid,claim_role,pub_year,tier,topic,horizon,signature_claim,retrieved_pmids_top20,top_score,corpus_silent,low_similarity,evidence_status_summary,key_evidence,verdict,verdict_evidence_pmid,external_evidence_used,ambiguous_flag,adjudicator_note
33496428,33496428,primary,2021,3,medical education / AI literacy,open-ended,"ML has the potential to have a similar, if not greater, impact on the practice of medicine as evidence-based medicine, and ML concepts must be integrated into medical curricula to position physicians as informed stakeholders.",39725770|41223082|38898116|39276611|39779926|39214943|40607450|41353516|41083453|41073416|41518413|41222246|41593156|41580557|41940108|41806382|41100233|41559415|38888919|40658884,60.727,TRUE,TRUE,"The retrieved abstracts focus almost entirely on the technical performance, benchmarking, and clinical deployment of large language models (LLMs) in medicine. None of them address the specific prediction about integrating ML concepts into medical curricula or positioning physicians as informed stakeholders. The abstracts represent continued advocacy and research into ML/LLM capabilities in healthcare, but do not report outcomes related to curriculum reform or medical education policy changes. The corpus therefore does not speak to the real-world status of the prediction regarding medical education integration.",,,,,,
32646768,32646768,primary,2021,3,radiology education and AI integration,open-ended,"By codifying technology education during the diagnostic radiology internship and introducing AI/ML training, radiologists can be reframed as the 'Data-Driven Physician' of the 21st century, leading the medical community into a transformational era.",40455218|40631621|40082894|40742646|42010236|40659237|40488865|39454460|41781097|42053390|41616403|39170856|41104489|38942454|39481214|40495102|40280036|41315100|40082889|40382855,66.743,FALSE,FALSE,"The retrieved abstracts collectively show that AI/ML integration into radiology education and residency training is actively underway across multiple countries and institutions, with curriculum frameworks being developed, pilot platforms deployed, and regulatory bodies (e.g., HCPC) mandating AI competency standards. However, the evidence reflects ongoing advocacy, framework proposals, and early-stage implementations rather than a fully realized 'Data-Driven Physician' identity for radiologists leading the broader medical community. Gaps remain—only ~10% of surveyed imaging staff had received formal AI training, AI adoption in clinical settings is still limited, and significant heterogeneity exists across programs—suggesting the transformation is in progress but not yet complete.","40659237 - Radiology residency programs are actively discussing how to integrate AI education through longitudinal tracks, but overcrowded curricula and limited evidence-based frameworks remain barriers to comprehensive AI training. [outcome] || 40488865 - A 2025 review proposes a comprehensive framework for integrating AI into radiology residency curricula, noting over 1000 FDA-cleared AI algorithms now approved, placing responsibility on training institutions to build AI competency. [restatement] || 39481214 - A multi-country survey found only 10.3% of medical imaging staff had received formal AI training, revealing significant gaps between advocacy for AI education and actual implementation. [outcome] || 40280036 - 71% of surveyed UK HEIs had already integrated AI into medical imaging curricula by 2025, but significant disparities in depth and scope persist across institutions. [outcome] || 40742646 - Radiology is described as at the forefront of AI transformation, with calls for early AI education integration, but widespread AI adoption remains limited and psychological/cultural barriers slow acceptance. [restatement]",,,,,
34019957,34019957,primary,2021,2,pharmaceutical 3D printing / personalized medicine,open-ended,"Leveraging AI within pharmaceutical 3DP removes the need for human expertise, as optimal process parameters can be accurately predicted by machine learning, moving the personalised production of medicines into an intelligent, streamlined, and autonomous pipeline.",40055986|40573185|41389441|39776314|39170042|41241791|39458657|39851128|38663579|41185503|39895671|39396920|41445476|41077086|38702711|41664164|38773458|40175042|38140747|39473198,66.923,TRUE,FALSE,"The retrieved abstracts broadly discuss AI and machine learning applications across pharmaceutical sciences, drug discovery, and manufacturing, but none specifically address pharmaceutical 3D printing (3DP) or the prediction that AI removes the need for human expertise in personalised medicine production via 3DP. The abstracts consistently emphasise 'human-in-the-loop' frameworks, regulatory oversight, and the need for interdisciplinary collaboration, which contradicts the notion of fully autonomous pipelines without human expertise. These papers represent restatements of AI's transformative potential rather than outcome evidence about autonomous 3DP-based personalised medicine production.","40055986 - AI agentic workflows in clinical pharmacology are described as keeping 'human in the loop' rather than removing human expertise, contradicting the autonomous pipeline prediction. [restatement] || 41241791 - AI in pharmaceutical Industry 4.0 improves personalised medicine and adaptive manufacturing but notes ongoing challenges including data privacy, algorithmic bias, and regulatory needs—not autonomous operation. [restatement] || 41185503 - AI in drug formulation and manufacturing is described as requiring interdisciplinary collaboration and addressing data quality and regulatory concerns, not as replacing human expertise. [restatement] || 39851128 - AI advances in 3D printing of dosage forms for personalised treatment are mentioned, but framed as enhancing rather than replacing human expertise. [restatement]",,,,,
34052390,34052390,primary,2021,3,oncology / cancer research and clinical care,open-ended,"AI-based tools in cancer research and clinical care will only continue to expand, and NCI's investment in cancer-focused AI development will advance cancer research and clinical care across development, implementation, and assessment.",40810209|41232145|41252130|42008626|41664164|41550702|38141549|41241582|39007164|40228444|40359998|41294650|40307127|40299653|39714567|41437380|41402855|40532181|40387622|41716882,65.085,FALSE,FALSE,"The retrieved abstracts collectively indicate that AI-based tools in cancer research and clinical care have continued to expand substantially through 2024-2026, with applications spanning early detection, diagnosis, treatment planning, pathology, patient education, and clinical decision support. Multiple reviews document that AI methods are being developed, validated, and in some cases clinically deployed or regulatory-approved across the cancer care continuum. However, the abstracts also consistently note that widespread clinical integration remains challenged by issues of validation, bias, data diversity, regulatory oversight, and trust—meaning expansion is ongoing but uneven. None of the abstracts specifically address NCI investment outcomes; they speak broadly to the field's trajectory rather than to NCI-specific funding impacts.","40810209 - Review documents AI tools being developed and implemented across the full cancer care continuum, from risk assessment to survivorship, with ongoing challenges in validation and bias mitigation. [outcome] || 41252130 - States that AI-based methods for cancer risk prediction, diagnosis, prognosis, and therapeutics have been developed, validated, and approved, indicating readiness for clinical workflow integration. [outcome] || 42008626 - Interview study of oncology clinicians finds AI tools are largely accepted and perceived as beneficial, with some already integrated into cancer screening and radiotherapy workflows, though challenges remain. [outcome] || 41402855 - Systematic review documents FDA-approved AI-driven tools and ongoing clinical trials evaluating AI algorithms across cancer diagnosis, screening, treatment decision-making, and supportive care. [outcome] || 41716882 - Systematic review finds AI is increasingly integrated into oncology education and clinical practice globally, with positive educational outcomes but need for rigorous validation and equitable access. [outcome]",,,,,
33848616,33848616,primary,2021,2,cancer research and care delivery,open-ended,"AI innovators accessing core services (collaboration, data/technology management, incentivized partnerships, value redistribution) will achieve scale and sustained impact in cancer research and care delivery ecosystems.",39171796|40987933|41167995|38773458|41921107|38565582|40127434|40437502|40266673|40073368|40771245|41124689|38491544|41128758|39164452|41178347|39909417|40053779|41188209|39763580,62.608,TRUE,TRUE,"The retrieved abstracts collectively indicate that AI is being actively deployed and scaled across cancer research and healthcare delivery ecosystems, with evidence of real-world implementations (e.g., China's provincial cervical cancer screening program serving 12.67 million women, WIN Consortium's precision oncology trials using AI algorithms, and growing AI adoption in diagnostic imaging). However, the abstracts also consistently document persistent barriers to achieving sustained scale and impact—including infrastructure gaps, funding constraints, lack of clinician engagement, regulatory uncertainty, and ecosystem fragmentation—suggesting that while progress is occurring, the prediction's vision of broad, sustained impact remains partially realized rather than fully achieved. Several abstracts advocate for the collaborative, incentivized partnership models described in the prediction but frame these as aspirational recommendations rather than confirmed outcomes. The evidence thus reflects a mixed picture: meaningful real-world deployments exist, but systemic challenges continue to limit the scale and sustainability envisioned.","41921107 - China's Hubei province deployed AI-assisted cervical cancer screening at provincial scale serving 12.67 million women, with government stewardship and AI technology identified as key success drivers—an outcome demonstrating real-world scale in cancer care delivery. [outcome] || 40073368 - WIN Consortium reports active global precision oncology trials incorporating AI algorithms, real-world data, and digital pathology, with ongoing collaboration across industry, government, and academic stakeholders—an outcome of sustained collaborative AI impact in cancer research. [outcome] || 40127434 - Paper identifies ecosystem fragmentation as a persistent barrier to AI adoption in healthcare, recommending shared-value propositions and ecosystem leadership—framed as advocacy for the collaborative model rather than evidence it has been achieved. [restatement] || 40987933 - Survey of AI vendors in medical imaging and oncology finds co-production with end-users practiced by 53%, but infrastructure issues, lack of clinician engagement, and funding gaps remain key challenges to meeting customer expectations—partial outcome evidence of deployment with ongoing barriers. [outcome] || 39164452 - 2023 industry survey shows wider AI adoption in diagnostic imaging compared to 2021 but adoption still seen as behind potential, with ROI better understood yet payor reimbursement remaining elusive—outcome evidence of incremental but incomplete scaling. [outcome]",,,,,
34082064,34082064,primary,2021,2,oncology clinical trials / causal AI,open-ended,"In silico trials using causal AI approaches can simulate control and efficacy arms, inform patient recruitment and regimen titrations, and better enable subgroup analyses critical for precision medicine.",38480460|41308950|38688389|40871773|40975956|42075869|41729172|41327606|39360574|38989644|40795861|39105416|40705787|39514601|38419357|41700655|40690490|40038141|40629057|41676970,65.116,FALSE,FALSE,"Multiple abstracts from 2024-2026 provide outcome-level evidence that in silico trial methods using causal AI are being actively developed and validated for simulating control and efficacy arms, informing patient recruitment, and enabling subgroup analyses for precision medicine. Notably, one study (PMID 40690490) reports an actual validation outcome: a causal AI-driven virtual trial emulation successfully replicated GLP-1 efficacy results from the LEAD-5 RCT using real-world data and virtual patient cohorts. Additional abstracts describe deployed or tested tools for clinical trial simulation (PMID 39360574, a DMD simulation tool with external validation), causal inference frameworks for hybrid trials with external controls (PMID 39514601), and multiple methodological frameworks for subgroup analysis and heterogeneous treatment effect estimation (PMID 41700655, PMID 40038141). Several other abstracts restate the promise of these approaches without reporting specific validation outcomes.","40690490 - A causal AI and generative AI emulation method successfully simulated virtual clinical trial arms (control, active, placebo) and replicated GLP-1 efficacy results consistent with the LEAD-5 RCT, demonstrating real-world validation of in silico trial simulation using causal learning. [outcome] || 39360574 - A model-informed clinical trial simulation tool for Duchenne muscular dystrophy was developed and externally validated against a placebo arm of a published trial, demonstrating deployed in silico trial capability for informing study design and virtual population generation. [outcome] || 39514601 - A causal inference framework for hybrid trials leveraging external controls was developed and applied to the SUNFISH trial, showing that external control arms can be integrated to improve efficiency of treatment effect estimation. [outcome] || 41700655 - Modern causal inference approaches including debiased machine learning were applied to improve power for subgroup analyses in small RCTs by borrowing external data, with simulation and real-data application to schizophrenia trials. [outcome] || 41308950 - A perspective piece argues that machine learning integrated into in silico clinical trial pipelines can enhance feasibility and enable precision medicine subgroup analyses, but presents this as prospective opportunity rather than reporting a specific validation outcome. [restatement]",,,,,
33740447,33740447,primary,2021,3,precision medicine / AI in healthcare,by 2030 / next decade,"Precision medicine will continue to transform healthcare in the coming decade as it expands in key areas: huge cohorts, artificial intelligence (AI), routine clinical genomics, phenomics and environment, and returning value across diverse populations.",38037121|40265391|40466336|41348251|39147901|41518203|40762974|40428059|40375359|41664164|38190108|38835075|39962436|38763986|40073368|41595426|39794311|41071609|41094484|41221536,64.196,FALSE,FALSE,"The retrieved abstracts collectively document active, ongoing expansion of precision medicine across the predicted key areas—large cohorts (UK Biobank, All of Us), AI/ML integration, clinical genomics, multi-omics/phenomics, and equity across diverse populations—through 2024–2026. Multiple outcome-type studies report actual deployments and validations, such as neural networks trained on 500,000+ UK Biobank participants predicting risk for thousands of diseases and transferring to diverse cohorts, deep transfer learning improving multi-ancestral disease prediction, and growing clinical implementation of AI in oncology and genomics. However, many abstracts also restate the prediction's themes as aspirational goals or advocacy, noting persistent challenges in data standardization, algorithmic bias, interpretability, and equitable representation. Overall, the evidence indicates the prediction's trajectory is being realized in research and early clinical settings, though full clinical integration remains incomplete.","39794311 - Neural network trained on 502,489 UK Biobank participants predicted risk for 1,741 diseases and generalized to the All of Us cohort, demonstrating large-cohort, phenome-wide precision medicine in practice across diverse populations. [outcome] || 38763986 - Same UK Biobank/All of Us neural network approach validated phenome-wide disease prediction and COVID-19 vulnerability identification, confirming real-world utility of large cohort-based precision medicine. [outcome] || 38835075 - Deep transfer learning applied to multi-ancestral genomic datasets (lung cancer, prostate cancer, Alzheimer's) improved disease prediction for data-disadvantaged ancestry groups, demonstrating outcome progress on equity across diverse populations. [outcome] || 40265391 - Scientometric analysis found 34.3% publication growth in AI/precision medicine in 2024, with three dominant research themes (diagnostics/imaging, genomic/multi-omics integration, personalized treatment), indicating rapid real-world expansion of the field. [outcome] || 39962436 - Expert interviews confirmed ML in precision oncology is in early clinical integration stages, with some utility demonstrated but widespread clinical adoption still rare, reflecting partial realization of the prediction. [outcome]",,,,,
32961010,32961010,primary,2021,3,precision medicine / personalized health care,open-ended,"The convergence of AI and precision medicine will revolutionize health care by enabling personalized diagnosis and prognostication through integration of nongenomic and genomic determinants with patient symptoms, clinical history, and lifestyles.",41725143|41037050|40265391|41573270|38997240|41206190|41371937|40330081|41961172|41010041|39147901|41971387|41162377|41266662|40147701|41595426|41623885|40762974|42042558|40764831,65.697,FALSE,FALSE,"The retrieved abstracts collectively describe ongoing research, frameworks, and reviews advocating for AI-precision medicine convergence integrating genomic, nongenomic, lifestyle, and clinical data for personalized diagnosis and prognostication. However, the abstracts are predominantly reviews, position papers, and project descriptions rather than outcome studies reporting actual deployed systems or validated head-to-head clinical results demonstrating revolutionary change in healthcare delivery. Several abstracts do report specific outcome-level findings, such as a multiethnic XGBoost skin cancer risk model built on genetic, lifestyle, and social determinants, and scientometric data showing a 34.3% publication growth in 2024 with AI-precision medicine integration as a dominant theme, indicating the field is advancing rapidly but remains largely in research and development phases. The corpus does not provide evidence of broad real-world clinical deployment or a demonstrated revolution in routine healthcare practice as of early 2026.","40265391 - Scientometric analysis of 4574 publications (2019-2024) shows 34.3% growth in 2024, with AI-driven genomic/multi-omics integration and personalized treatment as dominant themes, indicating rapid research expansion but not yet widespread clinical deployment. [outcome] || 41162377 - An XGBoost multiethnic model integrating genetic ancestry, lifestyle, social determinants, and clinical history achieved high accuracy for skin cancer identification in a diverse real-world dataset, representing an actual implemented precision medicine tool. [outcome] || 41037050 - Mayo Clinic Center for Individualized Medicine position paper envisions AI-powered multiomics integration for enterprise-wide individualized clinical practice, but describes a future vision rather than a completed deployment. [restatement] || 41573270 - Review advocates that multi-modal AI integrating genomics, imaging, and EHR data enhances diagnosis and risk stratification, but presents this as transformative potential rather than demonstrated real-world outcomes. [restatement] || 42042558 - Comprehensive review of AI in cardiovascular medicine documents substantial impact in imaging, ECG, and risk stratification domains but emphasizes that rigorous clinical validation and workflow integration remain ongoing challenges. [restatement]",,,,,
34397469,34397469,primary,2021,2,cardiac surgery / clinical AI,open-ended,Artificial intelligence can streamline physician workload and help make medicine more human again by placing the physician back at the bedside through its many potential exciting applications in cardiac surgery.,39098601|39536965|39243960|40930297|40518333|38258658|41576388|41289855|41960068|39992712|42029588|38355499|38733021|40592818|38409178|40220757|38453558|41650180|39083274|41431407,66.719,FALSE,FALSE,"Multiple 2024-2026 abstracts document real-world AI deployments and validated tools in cardiac surgery contexts, including AI for postoperative AF detection, clinician-AI collaboration reducing workload by 76.7% in AF screening, and meta-analytic evidence that AI reduces documentation time by ~40% and administrative burden by >30%. Reviews and surveys confirm AI is being actively integrated across preoperative, intraoperative, and postoperative cardiac surgical workflows, with surgeons broadly supporting AI for offloading administrative tasks so clinicians can focus on patient care. However, several abstracts also note caution—chatbots underperformed board-certified surgeons on clinical scenarios, and surveys reveal mixed surgeon perceptions including concerns about dehumanization. The overall evidence indicates the prediction's core thesis (AI streamlining workload and returning physicians to the bedside) is supported by emerging outcome data, though full realization remains in progress.","41431407 - Meta-analysis found AI reduces physician documentation time by ~40%, administrative burden by >30%, and diagnostic interpretation times substantially, freeing clinicians to focus on patients. [outcome] || 40220757 - Clinician-AI collaboration in AF detection reduced clinician workload by 76.7% while achieving 100% diagnostic accuracy, demonstrating real-world efficiency gains. [outcome] || 39098601 - Review documents current AI applications across the full cardiac surgical patient journey including administrative offloading, framing AI as enabling surgeons to focus on high-level decision-making and bedside care. [restatement] || 42029588 - Systematic review of 67 studies found AI and robotic systems act as augmentative technologies enhancing rather than replacing the surgeon's role in cardiothoracic surgery. [outcome] || 39536965 - Four popular chatbots performed significantly worse than board-certified thoracic surgeons on clinical scenarios, with more critical failures, urging caution in clinical AI decision-making implementation. [outcome]",,,,,
33731170,33731170,primary,2021,2,surgical pathology / medical AI,open-ended,"AI has the potential to transform the practice of surgical pathology by ensuring rapid and accurate results and enabling pathologists to focus on higher level diagnostic and consultative tasks such as integrating molecular, morphologic and clinical information to make accurate diagnosis in difficult cases, determine prognosis objectively and contribute to personalized care.",41008680|41701283|40307127|38646706|38179884|40823629|38900376|37501529|39836377|40204094|37921030|38748507|39929018|41147250|40441444|39694737|39703759|41384695|38159301|40993310,65.402,FALSE,FALSE,"The retrieved abstracts collectively indicate that AI is actively being integrated into surgical pathology workflows, with real-world deployments showing measurable efficiency gains (e.g., up to 65% time savings in genitourinary pathology) and demonstrated capabilities in tumor detection, grading, biomarker quantification, and prognosis prediction. However, the evidence consistently shows that the current model is 'computer-assisted diagnostics' rather than autonomous AI, with pathologists remaining central to oversight, integration of multimodal data, and complex decision-making—broadly consistent with the prediction's framing of AI enabling pathologists to focus on higher-level tasks. Multiple abstracts note that no AI-based prognostic or predictive biomarkers yet have the highest level of clinical evidence (level IA/IB), and significant barriers including regulatory gaps, generalizability concerns, and workflow integration challenges persist. Most abstracts advocate for the complementary AI-pathologist model the prediction describes, though several are restatements of the same vision rather than outcome evidence of its full realization.","41384695 - Real-world GU pathology deployments report up to 65% time savings and positive ROI; AI projected to automate ~80% of routine quantification by 2030, shifting pathologists to 'diagnostic orchestrators' integrating multimodal data—an outcome consistent with the prediction. [outcome] || 38646706 - Current AI/ML algorithms do not yet perform well enough to act as standalone decision-makers; the field has shifted to a 'computer-assisted diagnostics' model where AI supports rather than replaces pathologists. [outcome] || 40307127 - AI tools are improving accuracy and efficiency in tumor detection, molecular biomarker identification, and prognosis, but no AI-based prognostic/predictive biomarkers are yet supported by level IA or IB evidence. [outcome] || 40993310 - AI applications have advanced from diagnostic adjuncts to predicting prognosis, gene alterations, and therapy responses using multimodal integration of histologic, genomic, and clinical data, though challenges in verification and accessibility remain. [restatement] || 39694737 - AI/ML systems are increasingly integrated into routine pathology workflows for tumor outcome prediction and biomarker discovery, but barriers to full clinical deployment persist including infrastructure and regulatory issues. [restatement]",,,,,
