claim_id,pmid,claim_role,pub_year,journal,pub_type_simple_5,specialty,title,signature_claim,tier,topic,horizon,flag_confirmed,reviewer_note
33496428,33496428,primary,2021,Academic medicine : journal of the Association of American Medical Colleges,Research Article,Medical Education,Machine Learning: The Next Paradigm Shift in Medical Education.,"ML has the potential to have a similar, if not greater, impact on the practice of medicine as evidence-based medicine, and ML concepts must be integrated into medical curricula to position physicians as informed stakeholders.",3,medical education / AI literacy,open-ended,yes,
32646768,32646768,primary,2021,Academic radiology,Research Article,Medical Education,The TechnoPhysics Year: Transformation of Diagnostic Radiology's Clinical Year as a Matter of Necessity.,"By codifying technology education during the diagnostic radiology internship and introducing AI/ML training, radiologists can be reframed as the 'Data-Driven Physician' of the 21st century, leading the medical community into a transformational era.",3,radiology education and AI integration,open-ended,yes,
34019957,34019957,primary,2021,Advanced drug delivery reviews,Review,Medical Informatics / Digital Health,Harnessing artificial intelligence for the next generation of 3D printed medicines.,"Leveraging AI within pharmaceutical 3DP removes the need for human expertise, as optimal process parameters can be accurately predicted by machine learning, moving the personalised production of medicines into an intelligent, streamlined, and autonomous pipeline.",2,pharmaceutical 3D printing / personalized medicine,open-ended,yes,
34052390,34052390,primary,2021,Biochimica et biophysica acta. Reviews on cancer,Review,Oncology,The potential of AI in cancer care and research.,"AI-based tools in cancer research and clinical care will only continue to expand, and NCI's investment in cancer-focused AI development will advance cancer research and clinical care across development, implementation, and assessment.",3,oncology / cancer research and clinical care,open-ended,yes,
33848616,33848616,primary,2021,Biochimica et biophysica acta. Reviews on cancer,Review,Oncology,Core services that power AI-driven transformation in cancer research and care.,"AI innovators accessing core services (collaboration, data/technology management, incentivized partnerships, value redistribution) will achieve scale and sustained impact in cancer research and care delivery ecosystems.",2,cancer research and care delivery,open-ended,yes,
34082064,34082064,primary,2021,Biochimica et biophysica acta. Reviews on cancer,Review,Oncology,The case for AI-driven cancer clinical trials - The efficacy arm in silico.,"In silico trials using causal AI approaches can simulate control and efficacy arms, inform patient recruitment and regimen titrations, and better enable subgroup analyses critical for precision medicine.",2,oncology clinical trials / causal AI,open-ended,yes,
33740447,33740447,primary,2021,Cell,Research Article,Medical Informatics / Digital Health,Precision medicine in 2030-seven ways to transform healthcare.,"Precision medicine will continue to transform healthcare in the coming decade as it expands in key areas: huge cohorts, artificial intelligence (AI), routine clinical genomics, phenomics and environment, and returning value across diverse populations.",3,precision medicine / AI in healthcare,by 2030 / next decade,yes,
32961010,32961010,primary,2021,Clinical and translational science,Review,Medical Informatics / Digital Health,"Precision Medicine, AI, and the Future of Personalized Health Care.","The convergence of AI and precision medicine will revolutionize health care by enabling personalized diagnosis and prognostication through integration of nongenomic and genomic determinants with patient symptoms, clinical history, and lifestyles.",3,precision medicine / personalized health care,open-ended,yes,
34397469,34397469,primary,2021,Current opinion in cardiology,Review,Surgery,The cardiac surgeon's guide to artificial intelligence.,Artificial intelligence can streamline physician workload and help make medicine more human again by placing the physician back at the bedside through its many potential exciting applications in cardiac surgery.,2,cardiac surgery / clinical AI,open-ended,yes,"un-flag the claim_2. ""has also entered the operating room"", is a description of the past. On the other hand, claim 1 is good, keep"
33731170,33731170,primary,2021,Diagnostic pathology,Review,Pathology / Laboratory Medicine,"Artificial intelligence (AI) in medicine, current applications and future role with special emphasis on its potential and promise in pathology: present and future impact, obstacles including costs and acceptance among pathologists, practical and philosophical considerations. A comprehensive review.","AI has the potential to transform the practice of surgical pathology by ensuring rapid and accurate results and enabling pathologists to focus on higher level diagnostic and consultative tasks such as integrating molecular, morphologic and clinical information to make accurate diagnosis in difficult cases, determine prognosis objectively and contribute to personalized care.",2,surgical pathology / medical AI,open-ended,yes,
33731170-2,33731170,secondary,2021,Diagnostic pathology,Review,Pathology / Laboratory Medicine,"Artificial intelligence (AI) in medicine, current applications and future role with special emphasis on its potential and promise in pathology: present and future impact, obstacles including costs and acceptance among pathologists, practical and philosophical considerations. A comprehensive review.",AI has the ability to democratize high level medical care and make it accessible to all parts of the world.,3,surgical pathology / medical AI,open-ended,yes,
33447941,33447941,primary,2021,Drug delivery and translational research,Review,Medical Informatics / Digital Health,Intelligent automated drug administration and therapy: future of healthcare.,"The integration of artificial intelligence techniques such as fuzzy logic, neural network, and reinforcement learning with closed-loop drug delivery systems will bring their applications closer to fully intelligent automatic healthcare systems.",2,closed-loop drug delivery / AI-driven automated therapy,open-ended,yes,
