pmid,pub_year,journal,pub_type_simple_5,specialty,title,has_abstract,flag_confirmed,flag_reason,signature_claim,signature_claim_2,tier,topic,horizon
33496428,2021,Academic medicine : journal of the Association of American Medical Colleges,Research Article,Medical Education,Machine Learning: The Next Paradigm Shift in Medical Education.,yes,yes,"The abstract makes a forward-looking claim that ML concepts must be integrated into medical curricula, predicting a paradigm shift analogous to the evidence-based medicine movement, and that ML will have a similar or greater impact on medical practice.","ML has the potential to have a similar, if not greater, impact on the practice of medicine as evidence-based medicine, and ML concepts must be integrated into medical curricula to position physicians as informed stakeholders.",,3,medical education / AI literacy,open-ended
32646768,2021,Academic radiology,Research Article,Medical Education,The TechnoPhysics Year: Transformation of Diagnostic Radiology's Clinical Year as a Matter of Necessity.,yes,yes,The paper makes a forward-looking claim that restructuring radiology training will allow radiologists to lead medicine as the 'Data-Driven Physician of the 21st century' and that AI/ML education is 'necessary' to reframe radiology's identity for future technological innovations.,"By codifying technology education during the diagnostic radiology internship and introducing AI/ML training, radiologists can be reframed as the 'Data-Driven Physician' of the 21st century, leading the medical community into a transformational era.",,3,radiology education and AI integration,open-ended
34019957,2021,Advanced drug delivery reviews,Review,Medical Informatics / Digital Health,Harnessing artificial intelligence for the next generation of 3D printed medicines.,yes,yes,"The abstract makes forward-looking claims that AI will remove the need for human expertise in pharmaceutical 3D printing, enable autonomous personalized medicine pipelines, and expedite clinical deployment of 3DP.","Leveraging AI within pharmaceutical 3DP removes the need for human expertise, as optimal process parameters can be accurately predicted by machine learning, moving the personalised production of medicines into an intelligent, streamlined, and autonomous pipeline.",These technologies will expedite the use of pharmaceutical 3DP in clinical settings and drive the global movement towards personalised medicine and Industry 4.0.,2,pharmaceutical 3D printing / personalized medicine,open-ended
34052390,2021,Biochimica et biophysica acta. Reviews on cancer,Review,Oncology,The potential of AI in cancer care and research.,yes,yes,"The abstract states the list of AI-based tools 'will only continue to expand' and outlines NCI's 'four priority areas for future investment of cancer-focused AI development,' indicating forward-looking claims about AI's expanding role in cancer care.","AI-based tools in cancer research and clinical care will only continue to expand, and NCI's investment in cancer-focused AI development will advance cancer research and clinical care across development, implementation, and assessment.",,3,oncology / cancer research and clinical care,open-ended
33848616,2021,Biochimica et biophysica acta. Reviews on cancer,Review,Oncology,Core services that power AI-driven transformation in cancer research and care.,yes,yes,"The abstract explicitly describes enabling 'AI-driven transformation' and 'achieve scale and sustained impact' in cancer research and care, constituting a forward-looking claim about AI's transformative role.","AI innovators accessing core services (collaboration, data/technology management, incentivized partnerships, value redistribution) will achieve scale and sustained impact in cancer research and care delivery ecosystems.",,2,cancer research and care delivery,open-ended
34082064,2021,Biochimica et biophysica acta. Reviews on cancer,Review,Oncology,The case for AI-driven cancer clinical trials - The efficacy arm in silico.,yes,yes,"The abstract makes forward-looking claims that in silico trials using causal AI 'can simulate control and efficacy arms, inform patient recruitment and regimen titrations, and better enable subgroup analyses' — concrete predictions about AI's future role in cancer clinical trial design.","In silico trials using causal AI approaches can simulate control and efficacy arms, inform patient recruitment and regimen titrations, and better enable subgroup analyses critical for precision medicine.",,2,oncology clinical trials / causal AI,open-ended
33740447,2021,Cell,Research Article,Medical Informatics / Digital Health,Precision medicine in 2030-seven ways to transform healthcare.,yes,yes,"The abstract explicitly states precision medicine 'will continue to transform healthcare in the coming decade' with specific named mechanisms including AI, clinical genomics, and phenomics.","Precision medicine will continue to transform healthcare in the coming decade as it expands in key areas: huge cohorts, artificial intelligence (AI), routine clinical genomics, phenomics and environment, and returning value across diverse populations.",,3,precision medicine / AI in healthcare,by 2030 / next decade
32961010,2021,Clinical and translational science,Review,Medical Informatics / Digital Health,"Precision Medicine, AI, and the Future of Personalized Health Care.",yes,yes,The abstract explicitly states the convergence of AI and precision medicine 'promises to revolutionize health care' and predicts translational research will 'help solve the most difficult challenges facing precision medicine' through personalized diagnosis and prognostication.,"The convergence of AI and precision medicine will revolutionize health care by enabling personalized diagnosis and prognostication through integration of nongenomic and genomic determinants with patient symptoms, clinical history, and lifestyles.",,3,precision medicine / personalized health care,open-ended
34527076,2021,Computational and mathematical methods in medicine,Review,Medical Informatics / Digital Health,Influential Usage of Big Data and Artificial Intelligence in Healthcare.,yes,no,"The abstract is a descriptive review of existing AI/big data applications in healthcare with no specific forward-looking prediction about what AI will do, replace, or enable in the future.",,,,healthcare AI and big data review,open-ended
34397469,2021,Current opinion in cardiology,Review,Surgery,The cardiac surgeon's guide to artificial intelligence.,yes,yes,"The abstract makes forward-looking claims about AI entering clinical workflows, automating tasks, streamlining physician workload, and enabling augmented reality/robotic surgery in cardiac surgery.",Artificial intelligence can streamline physician workload and help make medicine more human again by placing the physician back at the bedside through its many potential exciting applications in cardiac surgery.,"Experimentally, artificial intelligence has also entered the operating room in the form of augmented reality and automated robotic surgery.",2,cardiac surgery / clinical AI,open-ended
33731170,2021,Diagnostic pathology,Review,Pathology / Laboratory Medicine,"Artificial intelligence (AI) in medicine, current applications and future role with special emphasis on its potential and promise in pathology: present and future impact, obstacles including costs and acceptance among pathologists, practical and philosophical considerations. A comprehensive review.",yes,yes,The abstract explicitly states AI 'promises to revolutionize patient care in the coming years' and 'has the potential to transform the practice of surgical pathology' with specific forward-looking claims about future roles.,"AI has the potential to transform the practice of surgical pathology by ensuring rapid and accurate results and enabling pathologists to focus on higher level diagnostic and consultative tasks such as integrating molecular, morphologic and clinical information to make accurate diagnosis in difficult cases, determine prognosis objectively and contribute to personalized care.",AI has the ability to democratize high level medical care and make it accessible to all parts of the world.,3,surgical pathology / medical AI,open-ended
33447941,2021,Drug delivery and translational research,Review,Medical Informatics / Digital Health,Intelligent automated drug administration and therapy: future of healthcare.,yes,yes,"The abstract explicitly states 'the future will have promising opportunities, vast applications' and describes AI integration bringing systems 'closer to fully intelligent automatic healthcare systems', constituting a forward-looking claim about AI's future role in automated drug delivery.","The integration of artificial intelligence techniques such as fuzzy logic, neural network, and reinforcement learning with closed-loop drug delivery systems will bring their applications closer to fully intelligent automatic healthcare systems.",,2,closed-loop drug delivery / AI-driven automated therapy,open-ended
33529363,2021,Epilepsia,Review,Neurology / Neuroscience,Can Big Data guide prognosis and clinical decisions in epilepsy?,yes,yes,"The abstract makes forward-looking claims that Big Data/ML will enable multimodal research, personalized care through clinical decision support systems, and change understanding of prognosis and mortality in epilepsy.","Big Data will enable multimodal research integrating various '-omics' domains with the potential to change our understanding of prognosis and mortality in epilepsy, and personalized patient care through clinical decision support systems that are evidence-based, adaptive, and iterative seems to be within reach.",,2,epilepsy clinical decision support / Big Data,open-ended
33937332,2021,Frontiers in molecular biosciences,Research Article,Oncology,Nanogenomics and Artificial Intelligence: A Dynamic Duo for the Fight Against Breast Cancer.,yes,yes,"The abstract makes a forward-looking claim that a laboratory instrument fitted with an AI program can be used to diagnose breast cancer patients by matching their sera miRNA and biomolecule composition with nanogenomics-derived template profiles, proposing a concrete future diagnostic approach.","A laboratory instrument fitted with an AI program can be used to diagnose suspected breast cancer patients by matching their sera miRNA and biomolecules composition with available nanogenomics-derived template profiles of breast tumor sub-types, estrogen receptor status, and potential metastasis sites.","AI applying deep learning algorithms to mammographic or histologic examinations enables faster, more sensitive, and more reproducible diagnoses compared to human performance.",1,breast cancer diagnostics / nanogenomics AI,open-ended
34064710,2021,International journal of environmental research and public health,Review,Obstetrics / Gynecology,Gynecology Meets Big Data in the Disruptive Innovation Medical Era: State-of-Art and Future Prospects.,yes,yes,"The abstract explicitly states big and smart data 'can revolutionize gynecology' and describes future prospects for AI/big data to increase accuracy, stratify patients, and enable personalized treatment in gynecology.","Big and smart data can revolutionize gynecology by increasing accuracy and precision, stratifying patients, and providing personalized treatment options at each stage of healthcare management (health promotion, prevention, diagnosis, prognosis, and therapeutics).",,3,gynecology / big data / AI,open-ended
34882190,2021,JAMA,Research Article,Medical Informatics / Digital Health,"Next-Generation Artificial Intelligence for Diagnosis: From Predicting Diagnostic Labels to ""Wayfinding"".",no,yes,The title explicitly frames AI as moving toward a new future role ('Next-Generation') and introduces a forward-looking concept of 'Wayfinding' as what AI will do beyond predicting diagnostic labels.,Next-generation AI for diagnosis will move beyond predicting diagnostic labels to performing 'wayfinding'—guiding the diagnostic process in a fundamentally new way.,,3,clinical diagnosis / AI decision support,open-ended
