pmid,pub_year,stance,failure_mode,model_type,confidence,rationale,prompt_version,model
39446672,2025,Alarm,misclassification,generative,0.880,LLM accuracy on multiple-choice dental questions measured; wrong answers are misclassification errors,q7_failuremode_v1,claude-sonnet-4-6
38801724,2024,Alarm,misclassification,discriminative,0.950,AI mammography tool missed cancers (false negatives) and had false positives vs human readers,q7_failuremode_v1,claude-sonnet-4-6
41872525,2026,Alarm,misclassification,generative,0.950,"LLMs evaluated for diagnostic accuracy/classification of pediatric ECGs, not fabrication",q7_failuremode_v1,claude-sonnet-4-6
40055532,2025,Alarm,both,generative,0.920,Explicitly measures hallucinations/accuracy and safety/bias misclassification in LLMs,q7_failuremode_v1,claude-sonnet-4-6
39299831,2025,Alarm,misclassification,discriminative,0.970,AI fracture detection model evaluated on false positives/negatives vs radiologist performance,q7_failuremode_v1,claude-sonnet-4-6
40002618,2025,Alarm,misclassification,discriminative,0.920,DL detection/classification of bone loss evaluated via diagnostic accuracy metrics,q7_failuremode_v1,claude-sonnet-4-6
40194867,2025,Alarm,misclassification,generative,0.850,"Evaluates diagnostic accuracy/detection rates of VLLMs on retinal images, not fabrication",q7_failuremode_v1,claude-sonnet-4-6
39622288,2025,Alarm,misclassification,generative,0.850,"LLMs evaluated on accuracy of surgical decisions and radiological assessments, not fabrication",q7_failuremode_v1,claude-sonnet-4-6
42054485,2026,Alarm,confabulation,generative,0.850,"LLMs generating incorrect/fabricated statistical calculations, not classification errors",q7_failuremode_v1,claude-sonnet-4-6
39952325,2025,Alarm,misclassification,generative,0.720,LLM accuracy evaluated on medical questions; one question showed lower accuracy score,q7_failuremode_v1,claude-sonnet-4-6
38213186,2024,Alarm,both,generative,0.870,LLM misclassifies accuracy AND fabricates nonexistent evidence support for recommendations,q7_failuremode_v1,claude-sonnet-4-6
39695057,2026,Alarm,misclassification,discriminative,0.800,Review focuses on biased predictions/disparate outcomes across racial groups from AI models,q7_failuremode_v1,claude-sonnet-4-6
36624237,2023,Alarm,none_or_unclear,unclear,0.650,"General framing about reproducibility issues, no specific failure mechanism described",q7_failuremode_v1,claude-sonnet-4-6
40820507,2026,Alarm,misclassification,generative,0.820,"LLM therapy quality scored/rated against human benchmark, assessing performance accuracy",q7_failuremode_v1,claude-sonnet-4-6
39059040,2024,Alarm,confabulation,generative,0.900,"LLMs fabricated incorrect helplines, dangerous disinformation, and false medical advice",q7_failuremode_v1,claude-sonnet-4-6
41660250,2026,Alarm,misclassification,generative,0.920,"LLMs evaluated for predictive accuracy/calibration in cardiovascular risk scoring, not fabrication",q7_failuremode_v1,claude-sonnet-4-6
39120016,2024,Alarm,both,generative,0.970,LLMs gave wrong surgical recommendations (misclassification) and 55% of references were fictitious (confabulation),q7_failuremode_v1,claude-sonnet-4-6
38366690,2025,Alarm,misclassification,generative,0.850,"ChatGPT produced wrong clinical assessments and over-triage decisions, not fabricated content",q7_failuremode_v1,claude-sonnet-4-6
37823416,2024,Alarm,misclassification,generative,0.850,"LLM evaluated for incorrect diagnoses and inadequate treatment plans, not fabrication",q7_failuremode_v1,claude-sonnet-4-6
33722847,2021,Alarm,none_or_unclear,unclear,0.850,"General AI bias/equity framing, no specific failure mechanism described",q7_failuremode_v1,claude-sonnet-4-6
39528596,2024,Alarm,misclassification,generative,0.720,"LLMs making biased resource allocation decisions — wrong/unjust predictions, not fabrication",q7_failuremode_v1,claude-sonnet-4-6
37864012,2023,Alarm,confabulation,generative,0.820,"LLMs generate false race-based medical content, propagating debunked misconceptions as plausible facts",q7_failuremode_v1,claude-sonnet-4-6
36062807,2022,Alarm,misclassification,both,0.850,Diagnostic accuracy/AUC compared for discriminative AI and generative-adjacent resident decisions; classification errors assessed,q7_failuremode_v1,claude-sonnet-4-6
40108444,2025,Alarm,confabulation,generative,0.900,LLM reviews show fabricated/inaccurate citations and lower authenticity in references,q7_failuremode_v1,claude-sonnet-4-6
40549899,2025,Alarm,confabulation,generative,0.800,"LLM misinformation implies fabricated/false content generation, not classification errors",q7_failuremode_v1,claude-sonnet-4-6
38400777,2024,Alarm,misclassification,generative,0.900,"LLM evaluated for classification accuracy of transfusion reactions, not fabrication",q7_failuremode_v1,claude-sonnet-4-6
39423004,2024,Alarm,misclassification,both,0.920,Compares classification accuracy of generative LLM vs discriminative BERT for specialty prediction,q7_failuremode_v1,claude-sonnet-4-6
41360694,2026,Alarm,misclassification,generative,0.820,"AI image generators produce biased/incorrect gender representations, a systematic output error",q7_failuremode_v1,claude-sonnet-4-6
38124357,2024,Alarm,both,generative,0.850,ChatGPT missed correct recommendations (misclassification) and gave harmful/incorrect references (confabulation),q7_failuremode_v1,claude-sonnet-4-6
40553002,2025,Alarm,misclassification,discriminative,0.970,"AI false-negative detection errors on mammograms, classification/detection model",q7_failuremode_v1,claude-sonnet-4-6
38295336,2025,Alarm,confabulation,generative,0.820,"Comment on ChatGPT providing patient information, likely addressing fabricated or inaccurate content",q7_failuremode_v1,claude-sonnet-4-6
40869701,2025,Alarm,misclassification,generative,0.850,"Evaluates LLM accuracy on orthopaedic questions; wrong answers are misclassification, not fabrication",q7_failuremode_v1,claude-sonnet-4-6
39437384,2024,Alarm,misclassification,generative,0.850,"GPT-4 risk assessment accuracy/bias evaluated, not fabrication of content",q7_failuremode_v1,claude-sonnet-4-6
41612211,2026,Alarm,misclassification,generative,0.900,LLM diagnostic accuracy evaluated; wrong ECG interpretations are misclassification errors,q7_failuremode_v1,claude-sonnet-4-6
38585462,2024,Alarm,confabulation,generative,0.820,"ChatGPT produces unreliable/fabricated evaluations of journal quality, suggesting confabulation",q7_failuremode_v1,claude-sonnet-4-6
37579574,2023,Alarm,none_or_unclear,unclear,0.850,"General commentary on power/bias framing, no specific AI failure mechanism described",q7_failuremode_v1,claude-sonnet-4-6
41868387,2026,Alarm,none_or_unclear,both,0.700,"Audit of transparency/disclosure gaps, not specific failure mechanisms like confabulation or misclassification",q7_failuremode_v1,claude-sonnet-4-6
39547871,2025,Alarm,misclassification,generative,0.850,"LLM produces wrong clinical recommendations/risk assessments, not fabricated citations",q7_failuremode_v1,claude-sonnet-4-6
41980236,2026,Alarm,misclassification,discriminative,0.920,"AI segmentation model evaluated on accuracy metrics DSC/HD95, wrong delineations",q7_failuremode_v1,claude-sonnet-4-6
37286665,2023,Alarm,misclassification,both,0.820,Radiologists following incorrect AI suggestions leads to wrong diagnoses; AI acts as discriminative classifier with explainability outputs,q7_failuremode_v1,claude-sonnet-4-6
40998694,2026,Alarm,misclassification,generative,0.720,"Study measures diagnostic accuracy/advice-taking behavior of ChatGPT, not fabrication",q7_failuremode_v1,claude-sonnet-4-6
38382193,2024,Alarm,misclassification,generative,0.900,"LLMs scored on exam accuracy; wrong answers are misclassification, not fabrication",q7_failuremode_v1,claude-sonnet-4-6
39321356,2025,Alarm,confabulation,generative,0.820,"ChatGPT generated inaccurate/superficial medical content requiring correction, not classification errors",q7_failuremode_v1,claude-sonnet-4-6
41063142,2025,Alarm,misclassification,generative,0.950,Generative AI models producing wrong severity classifications compared to orthodontist ground truth,q7_failuremode_v1,claude-sonnet-4-6
39235364,2024,Alarm,misclassification,discriminative,0.900,"Reviews classification/diagnostic AI models for Parkinson's; focuses on accuracy inflation, data leakage, generalization issues.",q7_failuremode_v1,claude-sonnet-4-6
33542191,2021,Alarm,misclassification,discriminative,0.820,ML treatment recommendation model produces wrong selections; clinician accuracy/concordance measured,q7_failuremode_v1,claude-sonnet-4-6
39322838,2024,Alarm,misclassification,generative,0.920,"LLMs evaluated for diagnostic accuracy in classifying scar types; wrong labels, not fabrication",q7_failuremode_v1,claude-sonnet-4-6
38199797,2025,Alarm,misclassification,generative,0.920,"GPT-4 evaluated for diagnostic accuracy/classification errors in histopathology, not fabrication",q7_failuremode_v1,claude-sonnet-4-6
41459577,2025,Alarm,misclassification,generative,0.820,"LLMs generate inconsistent/unreliable reference interval values, a consistency/accuracy failure not fabrication",q7_failuremode_v1,claude-sonnet-4-6
38284363,2024,Alarm,misclassification,generative,0.850,"LLM accuracy compared to guidelines; wrong answers, not fabricated citations",q7_failuremode_v1,claude-sonnet-4-6
41740881,2026,Alarm,misclassification,generative,0.920,"LLMs evaluated for diagnostic accuracy/agreement in clinical sign detection, not fabrication",q7_failuremode_v1,claude-sonnet-4-6
41551752,2026,Alarm,confabulation,generative,0.850,GenAI models prompted to produce fabricated/inaccurate CVD prevention information,q7_failuremode_v1,claude-sonnet-4-6
40269240,2025,Alarm,misclassification,both,0.850,Triage accuracy/consistency compared across generative LLM and discriminative DRP tool vs doctors,q7_failuremode_v1,claude-sonnet-4-6
34778732,2021,Alarm,misclassification,discriminative,0.950,Deep learning detection/classification model compared on accuracy for corneal disease diagnosis,q7_failuremode_v1,claude-sonnet-4-6
35463778,2022,Alarm,misclassification,discriminative,0.950,"DL segmentation model shows biased performance (Dice scores, errors) across racial/sex groups",q7_failuremode_v1,claude-sonnet-4-6
39860325,2025,Alarm,misclassification,generative,0.950,"LLM evaluated on diagnostic accuracy, sensitivity/specificity — classification errors, not fabrication",q7_failuremode_v1,claude-sonnet-4-6
39890777,2025,Alarm,confabulation,generative,0.820,"Prompt injection causes VLMs to generate harmful/unfaithful outputs, a fabrication/generation failure mode",q7_failuremode_v1,claude-sonnet-4-6
39860582,2025,Alarm,misclassification,generative,0.950,LLM image interpretation evaluated via accuracy/AUC against gold standard diagnoses,q7_failuremode_v1,claude-sonnet-4-6
38445975,2024,Alarm,misclassification,generative,0.920,"ChatGPT evaluated for predictive accuracy of TBI outcomes; poor specificity/AUC, no fabrication mentioned",q7_failuremode_v1,claude-sonnet-4-6
40373001,2025,Alarm,misclassification,both,0.900,Compares classification/extraction accuracy of LLMs vs rule-based systems; no fabrication discussed,q7_failuremode_v1,claude-sonnet-4-6
42005092,2026,Alarm,misclassification,generative,0.850,LLM recommendations failed to correctly predict/classify which students took research years,q7_failuremode_v1,claude-sonnet-4-6
38764485,2024,Alarm,misclassification,generative,0.720,"LLM accuracy/quality scoring evaluated; poor accuracy reflects wrong answers, not fabrication specifically",q7_failuremode_v1,claude-sonnet-4-6
40715822,2026,Alarm,misclassification,discriminative,0.970,AI classification models evaluated for sensitivity/specificity/AUC in nodule malignancy detection,q7_failuremode_v1,claude-sonnet-4-6
33635801,2021,Alarm,misclassification,both,0.850,BERT vs CNN/attention models compared on clinical document classification accuracy,q7_failuremode_v1,claude-sonnet-4-6
41314475,2026,Alarm,misclassification,generative,0.900,"LLMs evaluated on accuracy of carbohydrate estimation, not fabrication",q7_failuremode_v1,claude-sonnet-4-6
39133388,2024,Alarm,misclassification,generative,0.820,"LLM evaluated for incorrect treatment recommendations, not fabricated references",q7_failuremode_v1,claude-sonnet-4-6
37263772,2024,Alarm,misclassification,generative,0.820,"ChatGPT gives wrong/false drug answers; accuracy evaluated, not fabricated citations specifically",q7_failuremode_v1,claude-sonnet-4-6
35050343,2022,Alarm,misclassification,discriminative,0.820,"AI systems predict/label diagnosis and treatment plans; evaluated on precision, recall, accuracy scores",q7_failuremode_v1,claude-sonnet-4-6
38626142,2024,Alarm,misclassification,generative,0.880,LLM produces inconsistent/wrong risk scores compared to validated clinical tools,q7_failuremode_v1,claude-sonnet-4-6
40210509,2025,Alarm,confabulation,generative,0.900,"ChatGPT fabricated inaccurate literature synthesis, misrepresenting evidence in scholarly implant treatment planning",q7_failuremode_v1,claude-sonnet-4-6
35391864,2022,Alarm,misclassification,discriminative,0.900,Predictive models compared on RMSE and calibration for continuous outcome prediction,q7_failuremode_v1,claude-sonnet-4-6
42062131,2026,Alarm,misclassification,generative,0.900,"LLM image recognition evaluated for detection accuracy, sensitivity, specificity—classification errors",q7_failuremode_v1,claude-sonnet-4-6
41494445,2026,Alarm,misclassification,both,0.950,Diagnostic accuracy/classification errors compared between LLM and discriminative AI-CAD system,q7_failuremode_v1,claude-sonnet-4-6
40351113,2026,Alarm,confabulation,generative,0.990,Study explicitly measures fabricated/hallucinated references and bibliographic accuracy across LLMs,q7_failuremode_v1,claude-sonnet-4-6
39450689,2025,Alarm,misclassification,generative,0.850,Evaluating diagnostic accuracy of a generative AI on oral disease classification,q7_failuremode_v1,claude-sonnet-4-6
